nohup: 忽略输入
30246
Reading training data...
Reading validation data...
Epoch [1/5]
Iter:  13600,  Train Loss: 0.002,  Train Acc: 100.00%,  Val Loss:  0.28,  Val Acc: 94.49%,  Time: 13:48:55 
Iter:  13700,  Train Loss: 0.0037,  Train Acc: 100.00%,  Val Loss:  0.28,  Val Acc: 94.40%,  Time: 13:55:01 
Iter:  13800,  Train Loss: 0.0017,  Train Acc: 100.00%,  Val Loss:  0.28,  Val Acc: 94.31%,  Time: 14:01:07 
Iter:  13900,  Train Loss: 0.0064,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.54%,  Time: 14:07:13 
Iter:  14000,  Train Loss: 0.0055,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 94.49%,  Time: 14:13:18 
Iter:  14100,  Train Loss: 0.0022,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.46%,  Time: 14:19:25 
Iter:  14200,  Train Loss: 0.077,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.49%,  Time: 14:25:29 
Iter:  14300,  Train Loss: 0.0094,  Train Acc: 100.00%,  Val Loss:  0.28,  Val Acc: 94.41%,  Time: 14:31:36 
Iter:  14400,  Train Loss: 0.0013,  Train Acc: 100.00%,  Val Loss:  0.28,  Val Acc: 94.46%,  Time: 14:37:41 
Iter:  14500,  Train Loss: 0.0018,  Train Acc: 100.00%,  Val Loss:  0.28,  Val Acc: 94.53%,  Time: 14:43:47 
Iter:  14600,  Train Loss: 0.052,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.69%,  Time: 14:49:54 
Iter:  14700,  Train Loss: 0.0018,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.58%,  Time: 14:56:01 
Iter:  14800,  Train Loss: 0.0016,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.69%,  Time: 15:02:07 
Iter:  14900,  Train Loss: 0.0018,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.76%,  Time: 15:08:16 *
Iter:  15000,  Train Loss: 0.0042,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 94.73%,  Time: 15:14:22 
Iter:  15100,  Train Loss: 0.0055,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 94.71%,  Time: 15:20:25 
